id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
4294,A,145.33,material_7,material_8,9,5,11,3,1,18.696,11.569,15.62,17.157,11.717,20.501,10.039,15.465,21.524,13.026,12.215,,14.994,17.408,713.226,
22647,E,122.43,material_7,material_6,6,9,0,16,0,17.601,13.118,18.167,16.916,12.04,19.313,11.079,15.943,21.27,12.599,16.8,13.962,13.502,16.518,820.454,
9563,B,108.58,material_5,material_5,8,8,6,12,5,17.633,12.15,16.078,18.323,11.886,18.973,12.003,16.116,17.384,13.161,15.233,16.347,13.535,17.642,709.902,0.0
21639,E,127.89,material_7,material_6,6,9,11,5,2,17.291,11.732,15.876,17.61,11.981,17.919,13.567,16.75,22.318,15.027,15.035,,15.555,15.297,588.257,
5243,B,223.96,material_5,material_5,8,8,7,4,9,18.022,11.587,17.344,,11.697,18.884,11.842,15.925,21.895,12.575,15.054,18.268,15.248,17.805,716.104,1.0
12092,C,128.39,material_7,material_8,5,8,7,5,3,17.58,10.387,16.398,16.705,10.869,19.536,11.034,16.483,16.296,12.123,16.508,17.65,13.916,14.492,653.873,
9642,B,209.6,material_5,material_5,8,8,1,10,6,17.982,13.309,15.8,16.267,11.593,19.656,11.965,16.593,14.337,11.338,,16.736,15.396,15.243,731.027,
1943,A,95.32,material_7,material_8,9,5,13,9,7,17.672,12.467,15.654,19.219,13.199,19.748,10.21,14.848,20.513,12.969,15.938,17.83,14.432,17.941,762.009,
20508,D,222.41,material_7,material_5,6,6,6,10,7,17.269,13.2,17.374,19.982,11.626,18.409,12.017,16.219,,10.801,15.994,17.343,,,894.993,
23132,E,101.09,material_7,material_6,6,9,4,14,2,17.662,12.423,16.483,17.595,12.007,17.076,12.216,16.92,19.429,11.135,17.196,19.641,16.058,18.011,578.182,
7983,B,138.36,material_5,material_5,8,8,4,8,8,18.706,11.975,16.022,17.328,12.066,17.725,,13.981,19.474,11.724,18.497,15.934,13.962,19.254,723.9,
8880,B,224.18,material_5,material_5,8,8,3,6,11,18.737,11.355,15.886,17.988,12.971,20.421,10.791,17.929,20.32,13.457,,18.19,15.942,14.356,750.747,0.0
